source,destination,description
329,320,"[""{{i|???'s Only Friend}} / {{i|Robo-Baby 2.0}}: The tear and familiar(s) travel together, as they are controlled in the same way. Because the familiars' travel speeds are not affected by Isaac's shot speed, they only travel in the same spot when Isaac has exactly the amount of shot speed to sync them up.""]"
329,267,"[""{{i|???'s Only Friend}} / {{i|Robo-Baby 2.0}}: The tear and familiar(s) travel together, as they are controlled in the same way. Because the familiars' travel speeds are not affected by Isaac's shot speed, they only travel in the same spot when Isaac has exactly the amount of shot speed to sync them up.""]"
329,561,"['{{I|Almond Milk}} The tear will rapidly teleport in a small area around it, making it difficult to aim.']"
329,616,"[""{{i|Bird's Eye}}: Isaac will occasionally shoot a flame towards the Ludovico tear.""]"
329,254,"['{{i|Blood Clot}} / {{i|Chemical Peel}}: The tear steadily cycles between red and ""normal,"" dealing more damage when red.']"
329,154,"['{{i|Blood Clot}} / {{i|Chemical Peel}}: The tear steadily cycles between red and ""normal,"" dealing more damage when red.']"
329,69,"[""{{i|Chocolate Milk|nr}}: The tear can't be charged, but reduces Isaac's [[Attributes#Tear Delay|tear delay]] by 20%.""]"
329,103,"['{{i|The Common Cold}}: The tear pulses green, poisoning enemies.']"
329,401,"['{{i|Explosivo|na+}}: Tear will alternate between ""normal"" and black. If it touches an enemy, it will stick to it, grow in size, then explode. The tear can not damage anything or be controlled when stuck to an enemy.', ['{{dlc|a+nr}} The tear will grow very quickly when stuck to an enemy and pop without dealing damage, instead of the normal Explosivo delay and explosion.', ['{{dlc|r}} The Ludovico Tear will not get stuck on an enemy, instead a duplicate Tear gets stuck on the enemy, grows and explodes.']]]"
329,257,"[""{{i|Fire Mind|na+}}: Tears retain the ability to ignite enemies and explode. Tears reappear at Isaac's location after exploding."", ['{{dlc|a+}} Tears do not explode on contact with an enemy.']]"
329,495,"[""{{i|Ghost Pepper|nr}} / {{i|Red Candle|nr}}: Fires created from Ghost Pepper will destroy the tear and cause it to reappear at Isaac's location."", ['{{dlc|r}} Fires generated by both items do not interact with the Ludovico tear. However Ghost Pepper will create fires quickly when the Tear is moved.']]"
329,289,"[""{{i|Ghost Pepper|nr}} / {{i|Red Candle|nr}}: Fires created from Ghost Pepper will destroy the tear and cause it to reappear at Isaac's location."", ['{{dlc|r}} Fires generated by both items do not interact with the Ludovico tear. However Ghost Pepper will create fires quickly when the Tear is moved.']]"
329,114,"[""{{i|Mom's Knife}}: The tear becomes a controllable knife that deals double Isaac's damage. Effective shot speed is lowered. Tears stat is ignored and the damage is dealt at a rate equivalent to 4 tear delay."", [""'''Mom's Knife''' + {{i|Flat Stone}} / {{i|Monstro's Lung}} / {{i|Brimstone}} / {{i|Technology}}: The latter items are overridden completely.""]]"
329,431,"['{{i|Multidimensional Baby|na+}}: No effect.', ['{{dlc|a+nr}} An additional Ludovico tear is created when it passes through Multidimensional Baby, at the start of every room, and persists like the Ludovico tear itself. However, it cannot be controlled; it instead slowly follows Isaac.', ['{{dlc|r}} The extra tear stays completely still where it appeared.']]]"
329,147,"['{{i|Notched Axe|nr}}: The Ludovico tear cannot be moved while Notched Axe is held up.', ['{{dlc|r}} The tear can be moved by swings, without any special effect happening to it.']]"
329,261,"['{{i|Proptosis}}: The closer the tear floats to Isaac, the larger it is. The farther away, the smaller.']"
329,379,"['{{i|Pupula Duplex}}: Decreases the tear size by taking the form of a Pupula Duplex tear; however, it travels faster.']"
329,459,"['{{i|Sinus Infection|nr}} / {{t|Nose Goblin|nr}}: The tear can occasionally stick to an enemy. If the enemy does not die quickly, the tear pops and a new one appears.', ['{{dlc|r}} Like Explosivo, no longer sticks the original Tear to the enemy, instead places a replacement booger, which deals the same damage.']]"
329,463,['{{I|Sulfuric Acid}}: The Ludovico tear occasionally becomes acidic and can destroy objects.']
329,728,['{{C|Tainted Lilith|r}}: {{I|Gello|n}} shoots a smaller Ludovico tear which disappears if he retreats back into Lilith.']
329,152,"[""{{i|Technology 2|nr}}: The tear controls as usual, and Isaac fires the laser towards the tear relative to his position, rather than in the direction the player is moving the tear. Technology 2's damage penalty still applies. The laser becomes spectral."", [""{{Dlc|r}}Technology 2's tears penalty applies instead of damage."", [""'''Technology 2''' + {{i|Analog Stick}}: Laser is fired directly at the tear while it is being moved, instead of being limited to cardinal directions.""]]]"
329,524,['{{i|Technology Zero}}: No effect without additional items. Extra tears orbiting the main one or familiar tears will generate arcs to the controlled tear.']
329,358,"['{{i|The Wiz}}: A smaller Ludovico tear will appear and revolve around the main one. Also, the Ludovico tear moves diagonally, up is up-right, down is down-left, left is left-up, right is right-down. This can be counteracted by holding the keys or d-pad in its associated path (up-right to make it go up and so forth with the other keys).']"
329,233,"['{{i|Tiny Planet}}: Tear orbits around Isaac, however, the orbit can be grown or shrunken, sped up or slowed down by using the firing keys.']"
329,150,"[""{{I|Tough Love}} / {{T|Jawbreaker}}: Tear occasionally flicks to being a tooth, which deals 3.2x Isaac's tear damage, before immediately returning to being a normal tear. The frequency at which the tear very briefly transforms into a tooth increases with [[Luck]], permanently becoming a tooth at 9 Luck. {{T|Jawbreaker}} does not change the tear appearance.""]"
329,243,"['{{i|Trinity Shield}}: The controls of the tear and the shield overlap, making it impossible to consistently control both.']"
329,659,"['{{i|Tropicamide}}: No size increase effect. Ludovico tear size scales with damage, and not with size multipliers.']"
304,561,"['{{i|Almond Milk}}: Almond Milk is only a minor DPS upgrade, and as such a very minor all stats up.']"
304,224,"[""{{i|Cricket's Body|nr}}: Due to how Libra values tear delay, Cricket's Body gives an overall stat downgrade or upgrade depending on Isaac's internal base tear delay: At 7 or less it increases stats, at 8 or more it decreases stats.""]"
304,406,"[""{{i|D8}}: D8's stat changes depend on which stats end up with which multipliers and their base values. Range has a high weight and is uncapped, and thus can result in a massive boost if it scores a high multiplier. Damage is also uncapped but, on the other hand, has a low weight."", [""{{dlc|r}} The changes in Libra's formula mean D8 is very likely to give a small all stats up, its magnitude depending on Isaac's other items and which stats were emphasized.""]]"
304,705,"[""{{i|Dark Arts}}: Libra is extremely detrimental to how Dark Arts works, and should not be used together: The speed boost during the invincibility phase is transferred into attack bonuses (Which are useless as tears cannot be used), and afterwards, the temporary damage boost is divided across all of Isaac's stats, resulting in very negligible stat boosts.""]"
304,368,['{{i|Epiphora}}: The stat bonus for continuously firing in one direction applies to all stats. The accuracy penalty is unaffected.']
304,310,"[""{{i|Eve's Mascara}}: Gives an overall stat downgrade, due to tears being weighted heavier than damage."", [""{{dlc|r}} Eve's Mascara is a DPS up with no other relevant stats, and as such is a small all stats up.""]]"
304,240,"['{{i|Experimental Treatment}}: The greater number of stat upgrades compared to stat downgrades results in an effectively guaranteed all stats up. Health, Shot Speed, and Luck are still subject to chance.']"
304,407,"['{{i|Purity}}: At base stats, the tear delay and damage aura give a greater stat bonus than the range or speed aura.', ['{{dlc|r}} All the auras grant a small all stats up of similar magnitudes.']]"
304,417,"['{{I|Succubus}}: When in the aura, affects re-balanced stats rather than just damage.']"
