source,destination,description
329,245,- 20/20 / The Inner Eye / Mutant Spider: Smaller tears orbits the main tear.<br>
329,2,- 20/20 / The Inner Eye / Mutant Spider: Smaller tears orbits the main tear.<br>
329,153,- 20/20 / The Inner Eye / Mutant Spider: Smaller tears orbits the main tear.<br>
329,726,"- {{Dlc|r}}{{C|Tainted Azazel}}: The same effect as Brimstone, dealing full damage (Tainted Azazel's default laser damage is halved unless Hemoptysis is used first). Tainted Azazel can no longer use Hemoptysis.<br>"
329,528,"- Angelic Prism: While the tear is in contact with the prism, it will fire 4 additional tears in cardinal directions at Isaac's tear rate.<br>"
329,506,- Backstabber: Much easier to inflict bleeding and double damage on most enemies.<br>
329,704,- Berserk!: The tear can't be controlled while berserking but it can be batted around the room until the effect ends.<br>&emsp;- {{C|Tainted Samson}}: uses a passive form of Berserk! that works the same way.<br>
329,118,"- Brimstone: Tear takes the shape of a very large laser ring. {{Dlc|nr}} The shot speed is ignored. The Tears stat is ignored and the damage is dealt very rapidly at a rate equivalent to 1 tear delay. This ring will always be present and doesn't need charging up like normal Brimstone would.<br>&emsp;- '''Brimstone''' + Incubus: Incubus' Brimstone laser is not affected by Ludovico Technique.<br>&emsp;&emsp;- {{Dlc|r}} Adds a smaller controllable laser ring in addition to the main one.<br>&emsp;- {{Dlc|r}} '''Brimstone''' + Ipecac: +2 damage, beam explodes when colliding with enemies and obstacles.<br>&emsp;- '''Brimstone''' + A Lump of Coal: The ring increases in diameter, but not the damage, the farther away it gets from Isaac.<br>&emsp;- '''Brimstone''' + Spoon Bender: The ring reaches out to attack enemies near it, reforming into a ring when no enemies are present.<br>&emsp;- '''Brimstone''' + Technology: The ring is visually identical to a normal Brimstone ring, but the 1.5x damage multiplier applies.<br>&emsp;- '''Brimstone''' + 20/20/The Inner Eye/Mutant Spider: no effect.<br>"
329,453,"- Compound Fracture: Turns tear into a large bone, which shoots out smaller tears when attacking/touching an enemy. Scattered tears are spectral and piercing.<br>"
329,373,"- Dead Eye: Damage bonus increases until it hits the max of 2x. Since the controllable tear never hits the ground or wall, the bonus cannot be lost.<br>"
329,52,"- Dr. Fetus: A bomb is shot out at high speed and can be controlled, another bomb cannot be shot until the previously shot bomb has detonated.<br>&emsp;- {{Dlc|r}} Causes your tears to act like Epic Fetus and now inherits all synergies Epic Fetus has.<br>"
329,572,"- Eye of the Occult: While holding a direction key, the Ludovico tear will constantly shoot out controllable tears in random directions. The air time of these tears scales with the range stat.<br>"
329,361,- Fate's Reward: The familiar gains spectral and piercing tears.<br>
329,540,"- Flat Stone: The tear starts bouncing at a rate somewhat below Isaac's fire rate, each bounce dealing splash damage.<br>&emsp;- '''Flat Stone''' + Ipecac: Causes a poisonous explosion when it bounces instead of plain splash damage, as per normal Ipecac. The first bounce when entering a room does not explode, allowing moving the tear with less risk of self-damage.<br>"
329,418,"- Fruit Cake: The tear will cycle through different effects, based on Isaac's tear rate.<br>&emsp;- (Added in Afterbirth+, Removed in Repentance) If Isaac stays in one room long enough the Ludovico tear will often fill the room with many stationary Trisagion tears that last until Isaac leaves the room. This combination can easily clear most rooms.<br>"
329,331,"- Godhead: The tear homes towards nearby enemies and gains a large damaging aura. However, the aura cannot damage an enemy that is in contact with the actual tear; barring a high tear rate, it may be better to keep the aura on the enemies instead of the tear.<br>"
329,374,- holy light: The Ludovico tear will release holy beams on itself periodically while touching an enemy.<br>
329,360,"- Incubus|anr: Isaac gains a controlled tear while also being able to shoot normally with Incubus. Incubus's tears gain piercing and spectral properties.<br>&emsp;- (Added in Repentance) Incubus creates a second smaller Ludovico Technique tear instead, which can both be controlled by Isaac. The second tear is slightly delayed/ outside of the main tear. This may cause it to not hit enemies sometimes.<br>&emsp;- (Added in Repentance)  {{C|Lilith}}:  Lilith's incubus will fire a smaller Ludovico Technique tear. For each doubled incubus caused by Box of Friends, there will be an additional Ludovico Technique tear that spawns on Lilith's location.<br>"
329,444,"- Lead Pencil|a+nr: The tear blinks red, but the effect is entirely cosmetic.<br>&emsp;- (Added in Repentance) Tear barrages are launched in cardinal directions, even when not controlling the tear. Proc rate depends on fire rate.<br>"
329,617,"- Lodestone: The single floating tear will flash grey to indicate that the magnetism might apply on hit. Like Strange Attractor, enemies tagged with magnetism will also draw the floating tear towards said enemy.<br>"
329,87,- Loki's Horns: The Ludovico tear will sometimes shoot 4 smaller tears in each cardinal direction.<br>
329,213,- Lost Contact: Tear will block enemy tears without disappearing.<br>
329,132,"- A Lump of Coal: The tear becomes larger the further away it is from Isaac, increasing in damage.<br>"
329,55,- Mom's Eye: The Ludovico tear has a chance on each damage tick to fire a smaller tear in a random direction. This chance scales with luck and goes up to 100% at 10 Luck.<br>
329,217,- (Removed in Afterbirth+) Mom's Wig: The item causes spiders to spawn rapidly when moving the tear.<br>&emsp;- (Added in Repentance) Causes Spiders to rapidly spawn until the cap of 5 is reached.<br>
329,229,- Monstro's Lung: Tear turns red and does more damage.<br>&emsp;- (Added in Afterbirth) Tear becomes a cluster of variously sized tears spread over a small area. The tears move at the same speed when controlled but constantly move around each other.<br>
329,317,- Mysterious Liquid: Creep continuously oozes from underneath the tear.<br>
329,5,"- My Reflection: The shot speed multiplier causes the tear to move significantly faster, allowing it to catch up to any fast-moving enemies.<br>"
329,104,- The Parasite: Shoots out smaller tears when attacking an enemy. Scattered tears are spectral and piercing.<br>
329,478,"- Pause: The tear deals damage, even if the enemies are stopped. Moving the tear unpauses the enemies.<br>"
329,315,"- Strange Attractor: Enemies, items and even most bosses will be sucked to the single floating tear, dealing constant damage while keeping Isaac well away from harm, making this combination extremely effective in almost all scenarios.<br>"
329,383,"- Tear Detonator: The tear explodes into six smaller tears, then reappears next to the player.<br>"
329,68,"- Technology: The tear becomes a large laser ring, which visually looks like a shot fired by Tech X|n. Shot speed is ignored. The Tears stat is ignored and the damage is dealt very rapidly at a rate equivalent to 1 tear delay.<br>"
329,395,"- Technology: The tear becomes a large laser ring, which visually looks like a shot fired by Tech X|n. Shot speed is ignored. The Tears stat is ignored and the damage is dealt very rapidly at a rate equivalent to 1 tear delay.<br>"
329,244,"- Tech.5: The tear controls as usual, and Isaac fires the laser towards the tear relative to his position, rather than in the direction the player is moving the tear.<br>"
4,706,- Abyss: When Isaac uses Abyss to absorb Cricket's Head it turns into a larger red locust dealing triple Isaac’s damage per tick.<br>
304,704,"- Berserk!: For some reason, as you gain more kills while berserk, Libra steadily increases the damage, tears, and range stat with seemingly no limit, allowing massively high DPS, but targets are much more difficult to hit as the range of the swing gradually extending outwards more and more with each kill.<br>"
304,330,"- Soy Milk: As tear delay is valued very highly by the formula, greatly increases all stats.<br>&emsp;- (Added in Repentance) Soy Milk is only a minor DPS upgrade, and as such a very minor all stats up.<br>"
304,149,- Ipecac: Can be rapidly fired with decreased damage.<br>
304,562,"- Rock Bottom: Stats will increase as a result of items, get locked at the highest point, and then be balanced out via Libra allowing items like Ipecac and Soy Milk to have higher damage/shot speed respectively.<br>"
304,299,"- Taurus: Gradually increases all stats in an incomplete room. Libra prevents Isaac from becoming invincible (unless with high stats), and stat increases will remain until the end of the fight.<br>"
